Customer ID,Age,Gender,Marital Status,Education Level,Geographic Information,Occupation,Income Level,Purchase History,Interactions with Customer Service,Customer Preferences,Preferred Communication Channel,Preferred Contact Time,Preferred Language
32721,56,0,2,3,13,4,90036,11-08-2020,3,2,Mail,Afternoon,Spanish
8513,33,1,3,0,20,6,118108,01-06-2022,3,2,In-Person Meeting,Anytime,French
76143,38,0,1,4,0,5,73907,3/23/2019,4,0,In-Person Meeting,Anytime,French
4733,25,0,3,2,6,7,66966,1/22/2020,0,0,Email,Weekends,French
41370,40,0,3,0,8,3,73501,1/27/2019,0,0,In-Person Meeting,Anytime,Spanish
76973,70,0,2,3,21,3,64875,07-09-2020,1,4,Email,Morning,Spanish
35026,54,0,4,0,21,4,145535,6/25/2018,1,0,In-Person Meeting,Weekends,German
86002,26,1,4,1,10,3,144888,11/20/2020,2,1,Text,Evening,German
3173,56,1,0,0,11,5,93631,6/25/2022,1,1,In-Person Meeting,Weekends,German
31548,51,1,0,0,6,2,46211,03-08-2019,1,1,Phone,Weekends,French
37925,54,1,4,1,22,8,72860,10-08-2021,3,2,Mail,Anytime,English
66962,24,1,2,1,19,2,123454,8/21/2023,3,4,In-Person Meeting,Weekends,English
97147,26,1,4,3,23,5,116983,06-07-2021,3,2,Mail,Anytime,Spanish
61190,43,0,4,0,6,6,146348,1/27/2018,0,1,Mail,Morning,Mandarin
34601,54,1,0,3,24,7,66068,06-04-2019,4,4,Mail,Weekends,Mandarin
93395,48,1,2,4,7,4,63683,3/24/2020,1,1,In-Person Meeting,Evening,Mandarin
8965,65,1,3,0,25,4,41328,02-01-2022,1,1,Text,Morning,English
86159,36,1,1,0,26,5,70835,11-07-2022,1,2,In-Person Meeting,Evening,Spanish
10037,42,1,2,3,10,6,45929,2/15/2019,1,2,Phone,Anytime,German
89689,32,1,3,0,27,5,35126,8/28/2019,0,2,Text,Weekends,Mandarin
64170,30,0,0,0,22,8,148655,9/24/2022,4,2,In-Person Meeting,Morning,French
64942,43,0,3,3,28,7,92642,06-01-2021,1,0,Mail,Anytime,French
77788,27,1,4,2,12,7,40098,2/24/2019,4,3,Mail,Morning,German
75750,42,0,4,3,18,2,65337,01-11-2020,4,3,Phone,Afternoon,French
71321,70,1,4,4,29,8,28356,09-07-2020,3,2,Text,Evening,German
25732,62,0,1,2,23,1,104907,5/22/2023,1,4,Phone,Morning,German
37178,68,1,4,3,10,2,138557,02-05-2019,2,3,Phone,Morning,English
47251,32,1,3,2,0,8,125748,12/25/2019,3,1,Mail,Weekends,Mandarin
35701,45,1,3,1,30,2,99954,06-08-2022,1,1,Phone,Weekends,German
63619,42,0,3,4,23,8,71646,10/22/2020,0,0,In-Person Meeting,Afternoon,Spanish
33539,69,0,0,2,9,0,121869,06-04-2018,3,4,Email,Weekends,Spanish
46818,27,1,2,4,10,7,101551,01-11-2018,0,1,Phone,Anytime,French
27897,53,0,1,3,24,7,94222,6/22/2023,0,4,Mail,Afternoon,German
61690,62,0,2,4,22,4,34851,09-10-2023,4,1,Email,Anytime,English
45479,69,1,4,3,4,3,61700,01-10-2018,3,1,Phone,Anytime,English
13229,53,1,0,3,3,7,76843,2/23/2021,4,0,In-Person Meeting,Weekends,Mandarin
59127,23,0,1,0,24,8,143411,1/14/2020,0,3,Phone,Anytime,Mandarin
8775,40,0,0,1,24,8,63964,01-05-2018,4,1,Mail,Weekends,Spanish
86426,34,0,0,4,12,0,83653,05-04-2021,1,0,Email,Morning,Mandarin
77714,67,1,3,0,13,5,66619,6/27/2019,1,1,Text,Evening,English
17075,62,1,1,4,8,4,77078,6/28/2022,1,1,Phone,Anytime,Spanish
46209,40,0,0,4,22,6,118942,12-12-2019,0,1,In-Person Meeting,Weekends,Mandarin
59115,52,0,4,4,31,2,39956,1/24/2022,2,0,Email,Weekends,English
8967,34,0,3,2,0,8,99408,4/17/2022,1,0,In-Person Meeting,Morning,German
65220,44,0,0,4,28,7,116476,01-10-2023,3,3,In-Person Meeting,Morning,English
34756,44,0,0,0,14,3,32884,06-07-2018,0,3,Email,Weekends,English
8147,20,0,0,0,2,0,135104,1/27/2018,1,2,Email,Anytime,German
74505,56,1,1,0,16,6,47121,07-05-2018,3,0,In-Person Meeting,Weekends,French
11822,64,1,0,0,19,7,67420,12/14/2023,1,2,Mail,Weekends,German
52985,64,1,4,1,9,8,64700,12/15/2023,1,2,Text,Afternoon,Mandarin
75218,30,1,2,1,32,1,38437,10/22/2019,0,2,Text,Evening,French
32118,65,1,3,1,30,3,69140,07-07-2021,3,0,In-Person Meeting,Evening,English
37839,40,1,1,2,13,6,39132,8/24/2020,4,3,Text,Weekends,Mandarin
88675,24,0,0,4,16,3,54523,03-12-2018,1,0,Phone,Evening,Spanish
86928,34,1,0,3,33,1,77405,12/19/2019,1,3,Phone,Evening,German
35879,40,1,1,2,21,1,118299,8/24/2019,1,0,Text,Weekends,French
92862,53,0,0,4,19,4,58401,02-10-2020,0,2,Phone,Weekends,French
3792,68,1,4,2,6,4,85875,12/17/2023,3,1,Email,Afternoon,French
50536,57,1,3,4,26,4,125867,4/18/2018,4,3,Text,Weekends,Mandarin
88985,68,0,0,4,16,1,89518,01-12-2022,2,1,Email,Morning,French
22602,23,1,0,0,16,5,25667,1/17/2022,1,2,In-Person Meeting,Weekends,English
68789,35,0,1,1,21,8,136314,11/21/2020,1,2,In-Person Meeting,Anytime,French
37255,33,0,2,4,32,7,36403,5/18/2018,1,1,In-Person Meeting,Morning,English
64515,67,1,4,0,27,3,86795,4/15/2018,3,1,In-Person Meeting,Anytime,English
32937,25,1,0,1,21,6,28768,10/24/2022,2,4,Phone,Weekends,French
88158,38,1,4,2,33,0,145982,10/16/2022,3,0,Mail,Morning,French
34755,45,1,3,3,4,7,25078,04-04-2018,2,0,Phone,Afternoon,French
80157,37,1,3,4,29,6,34173,7/24/2018,4,4,Phone,Weekends,German
82166,59,0,0,1,33,6,106025,12-08-2022,2,4,Text,Afternoon,Mandarin
21502,37,1,2,1,14,3,135417,3/26/2023,4,3,Mail,Afternoon,German
75533,67,0,1,0,27,1,51132,4/22/2022,1,3,In-Person Meeting,Morning,French
74907,55,1,2,1,18,1,122826,6/28/2022,1,0,Phone,Weekends,Mandarin
32754,55,1,3,1,32,4,136045,6/17/2022,3,0,Email,Weekends,German
24738,35,0,0,0,7,3,101834,12-04-2023,0,1,In-Person Meeting,Anytime,English
23983,61,1,1,0,17,0,146046,04-02-2019,1,1,Phone,Morning,German
34916,47,0,0,4,14,4,122889,11-12-2023,3,2,In-Person Meeting,Evening,German
89406,21,1,0,2,2,7,83525,6/15/2022,2,3,Mail,Weekends,English
92373,43,0,2,2,0,6,90591,10-10-2023,2,1,In-Person Meeting,Morning,Mandarin
76593,70,0,3,2,6,6,74086,09-02-2023,2,0,Phone,Evening,Mandarin
30952,37,0,2,3,27,7,100557,11-07-2023,0,2,Mail,Weekends,English
70710,47,0,0,0,3,5,56046,07-02-2021,1,4,Mail,Evening,Mandarin
13102,67,1,0,1,10,4,68624,1/14/2021,4,2,Text,Morning,Spanish
795,20,0,1,2,14,3,116008,12/21/2021,0,2,In-Person Meeting,Evening,French
44973,44,1,3,0,10,6,52823,7/22/2020,3,0,Phone,Evening,Mandarin
74898,59,1,2,1,11,1,102179,07-01-2020,1,3,Email,Morning,English
87584,51,1,1,4,17,0,77719,10-06-2021,1,3,Mail,Weekends,German
88239,58,1,3,1,28,6,28246,5/16/2022,4,2,In-Person Meeting,Weekends,German
58479,33,1,0,0,15,5,74841,4/14/2018,2,0,Mail,Anytime,French
63495,41,0,2,1,11,5,49791,1/16/2021,1,0,Mail,Weekends,German
3068,65,0,2,4,7,5,143941,9/27/2022,3,2,Email,Weekends,Mandarin
92659,26,0,0,3,22,3,144154,08-02-2021,0,3,Text,Morning,German
53241,37,1,2,1,9,7,141120,4/19/2021,3,4,Email,Morning,German
18426,55,0,3,0,15,0,89231,10/21/2022,4,2,Phone,Morning,Spanish
68505,46,1,2,4,10,5,144780,12-08-2018,2,3,In-Person Meeting,Afternoon,English
1059,20,0,4,4,4,2,34692,10-01-2020,3,2,In-Person Meeting,Morning,Spanish
40545,26,1,3,0,2,6,141194,4/17/2018,1,0,Text,Evening,German
66444,51,1,1,3,23,0,134612,12/23/2020,4,2,Email,Evening,German
86371,53,0,3,0,4,5,108400,01-06-2023,1,0,Email,Morning,German
70519,20,0,0,1,12,0,80974,6/28/2022,3,4,Phone,Afternoon,Mandarin
77714,45,0,0,0,13,3,135603,10/18/2023,0,1,Phone,Anytime,English
4353,56,0,0,1,34,7,40593,2/22/2022,0,0,Text,Morning,German
34197,52,1,4,0,18,4,132319,3/27/2018,1,0,Phone,Weekends,Mandarin
52881,35,1,3,4,0,5,32799,6/24/2023,3,0,In-Person Meeting,Afternoon,German
65441,23,1,0,3,26,6,66133,1/18/2023,0,2,In-Person Meeting,Evening,English
12649,19,0,3,4,14,0,114458,01-12-2019,2,2,In-Person Meeting,Weekends,French
3894,33,0,2,4,6,2,37106,11/25/2019,0,4,Text,Evening,Mandarin
56932,35,1,1,4,4,1,36761,08-10-2018,1,2,Phone,Morning,English
85183,31,1,3,4,20,7,143758,7/13/2021,1,1,In-Person Meeting,Weekends,Mandarin
33284,47,1,1,0,1,2,70482,01-12-2023,1,4,Mail,Evening,French
70102,39,0,0,3,16,6,72314,5/28/2023,0,3,Phone,Afternoon,English
70876,29,0,4,4,31,8,143911,5/24/2020,0,3,In-Person Meeting,Evening,French
72479,64,1,1,4,5,1,145422,7/22/2023,3,4,Email,Morning,English
50135,31,1,0,2,22,7,144559,07-09-2018,0,2,Email,Morning,Spanish
45454,23,0,0,0,9,5,88143,03-02-2019,3,3,In-Person Meeting,Morning,English
96327,68,1,3,0,16,4,33823,6/17/2019,3,2,Mail,Evening,French
16203,56,1,3,3,29,6,76343,02-03-2019,3,0,In-Person Meeting,Evening,Mandarin
2967,34,0,0,3,27,6,101557,10/21/2018,2,2,In-Person Meeting,Evening,French
56310,48,1,3,1,32,6,25988,8/25/2018,2,2,Email,Morning,Spanish
97449,33,0,3,4,25,5,72368,05-03-2020,3,0,Phone,Morning,English
6857,51,0,0,0,23,5,117187,10/17/2022,0,0,Mail,Morning,French
35266,68,1,0,4,22,0,69328,10-03-2023,3,0,Phone,Anytime,Mandarin
96944,70,1,0,2,34,1,116189,01-07-2022,0,4,Text,Weekends,English
87312,58,0,4,4,30,1,145614,3/21/2021,0,4,In-Person Meeting,Evening,Mandarin
36158,20,1,1,4,18,0,81854,1/25/2022,4,0,Email,Morning,French
25390,39,1,1,3,5,5,144340,11/19/2023,4,3,In-Person Meeting,Weekends,French
96532,68,1,1,4,3,2,87337,1/21/2018,4,4,Phone,Weekends,English
15616,37,0,1,3,28,5,68999,2/25/2018,4,4,Phone,Afternoon,Mandarin
87975,59,1,3,0,7,7,119693,10/21/2019,0,0,Mail,Afternoon,Mandarin
73773,41,0,1,0,0,2,35133,11-06-2020,4,1,Phone,Anytime,English
76937,60,0,4,2,23,3,146937,4/25/2022,0,3,Email,Afternoon,English
74014,30,0,4,4,27,1,49349,1/16/2019,3,0,Email,Afternoon,German
84495,38,1,2,4,27,4,70348,10-08-2023,4,4,In-Person Meeting,Anytime,English
91959,21,1,0,4,6,3,128745,08-06-2022,4,0,Mail,Weekends,German
33206,55,1,4,0,6,8,127517,06-05-2019,3,0,Text,Morning,French
24133,64,0,4,1,22,4,118038,12/21/2020,3,0,In-Person Meeting,Afternoon,Spanish
8957,29,1,1,0,24,5,44219,3/17/2020,2,0,Mail,Morning,Mandarin
87909,54,1,4,3,2,0,132161,07-02-2023,3,2,Text,Anytime,German
73298,52,1,3,2,2,8,55137,04-03-2018,2,0,In-Person Meeting,Afternoon,German
64725,63,1,1,2,1,4,86965,07-12-2019,0,1,Phone,Afternoon,Spanish
1,26,0,0,4,15,3,37298,6/17/2018,0,2,Phone,Anytime,Mandarin
9693,26,0,2,1,13,0,108425,09-02-2022,0,1,Mail,Morning,English
18120,34,1,0,2,18,1,57050,06-12-2019,0,2,In-Person Meeting,Weekends,French
71792,69,0,3,3,3,7,141876,06-02-2019,4,0,Mail,Weekends,German
32971,47,1,2,1,2,4,86918,07-11-2023,4,0,Text,Weekends,Mandarin
85033,31,0,3,1,25,7,41852,10-09-2022,1,1,Text,Weekends,French
22629,23,1,2,4,13,5,33250,11/16/2018,3,0,In-Person Meeting,Afternoon,French
4531,45,1,0,4,21,5,120418,1/16/2020,1,0,Phone,Anytime,English
87799,37,0,3,2,4,3,125717,01-12-2021,4,0,In-Person Meeting,Afternoon,Mandarin
72916,48,0,3,2,17,4,92807,12/27/2020,1,0,Phone,Afternoon,German
80687,64,0,1,4,22,4,95543,12-09-2019,2,1,Email,Morning,English
17558,40,0,0,1,6,6,129889,12/25/2018,1,1,Email,Weekends,English
88534,39,0,1,3,10,0,117281,12/25/2019,3,4,Phone,Afternoon,German
71506,69,1,3,1,34,8,66359,02-04-2019,1,1,Mail,Morning,French
7555,44,1,4,4,8,5,57451,11/24/2021,4,4,Phone,Weekends,French
33860,36,1,3,0,20,7,106090,6/23/2023,3,0,Phone,Evening,French
13972,23,1,2,0,19,2,94921,8/17/2020,2,2,Email,Morning,French
90782,56,0,2,4,17,5,98388,10/18/2022,1,1,Phone,Weekends,German
40537,62,0,3,0,17,8,137030,06-09-2020,1,3,Mail,Anytime,French
67167,31,0,4,4,8,4,145961,10/26/2020,0,2,In-Person Meeting,Anytime,Mandarin
28436,64,1,2,1,22,0,69067,10/25/2022,3,1,Phone,Afternoon,French
38998,62,1,4,0,5,5,24192,04-02-2018,3,1,In-Person Meeting,Weekends,English
59833,24,1,2,4,12,4,31483,1/19/2020,3,4,Email,Afternoon,German
14322,23,0,2,4,34,1,43821,7/28/2023,3,4,In-Person Meeting,Weekends,Spanish
4799,53,0,1,1,27,2,40030,05-02-2020,3,1,In-Person Meeting,Evening,English
92641,26,1,1,1,23,5,22807,7/23/2020,3,2,In-Person Meeting,Afternoon,Mandarin
46037,39,1,2,4,29,7,106047,4/25/2022,1,2,Phone,Anytime,English
93855,52,0,2,4,7,0,87341,12/15/2020,3,0,In-Person Meeting,Weekends,English
34251,53,0,4,4,30,8,41080,03-11-2022,3,3,Phone,Morning,German
83837,64,1,3,3,10,0,110838,10-04-2020,4,3,Mail,Morning,English
66684,62,1,3,2,1,2,34740,10/20/2022,1,0,Phone,Afternoon,English
88923,35,0,4,4,28,5,38229,12-02-2018,4,4,In-Person Meeting,Weekends,Spanish
85930,58,1,4,2,25,1,95089,2/18/2019,4,3,Email,Morning,Mandarin
48246,45,1,3,3,28,1,34479,2/17/2019,3,4,Phone,Weekends,German
31319,36,1,2,0,23,8,97476,12/17/2019,3,2,In-Person Meeting,Weekends,Mandarin
86750,46,1,2,2,14,4,69439,04-01-2018,1,1,Mail,Morning,German
13273,19,0,2,1,17,5,112475,2/28/2021,3,4,In-Person Meeting,Morning,German
65553,37,0,1,3,10,6,56568,9/22/2020,1,3,Mail,Morning,German
96542,19,1,1,3,28,6,135554,11/27/2019,1,2,Mail,Weekends,German
65421,39,1,0,2,20,5,80979,08-10-2022,2,0,Email,Evening,French
4853,38,1,3,0,34,6,93452,3/14/2021,1,3,In-Person Meeting,Morning,French
76083,70,1,0,2,16,6,118783,12-05-2022,1,2,In-Person Meeting,Morning,English
34965,36,1,0,1,33,4,149115,06-06-2019,1,1,Phone,Afternoon,Mandarin
90065,26,0,0,0,28,2,43205,3/27/2022,1,1,In-Person Meeting,Evening,Spanish
37289,45,0,1,3,21,0,76638,2/13/2018,1,1,Phone,Weekends,German
28260,54,1,2,3,28,8,66831,05-01-2023,1,0,Text,Weekends,German
80597,39,0,0,2,26,2,143803,12/13/2022,2,0,Phone,Afternoon,Spanish
88404,37,0,4,3,21,8,80237,12-01-2022,0,1,Email,Evening,German
63153,31,1,3,0,5,1,65752,07-09-2023,2,0,In-Person Meeting,Weekends,English
36381,40,1,0,0,17,7,96555,04-04-2022,1,1,Text,Morning,German
79371,45,0,0,1,9,6,65240,4/26/2021,2,0,Phone,Afternoon,French
65378,37,1,1,4,16,5,48832,9/19/2022,3,4,Email,Afternoon,Spanish
8293,47,0,4,4,12,1,110554,10/24/2020,1,2,Email,Afternoon,German
40543,48,0,3,3,5,1,22850,05-04-2023,1,1,Mail,Morning,Spanish
45444,30,1,3,4,4,4,96156,10-05-2021,1,3,Email,Weekends,German
69341,42,1,0,0,27,6,69586,02-09-2021,4,2,In-Person Meeting,Afternoon,English
75160,36,0,2,0,6,6,145829,03-04-2023,2,2,Text,Anytime,English
92338,35,1,2,1,27,6,99168,2/19/2023,1,4,In-Person Meeting,Weekends,French
5656,47,1,1,3,25,0,96023,02-02-2019,1,1,Text,Morning,German
77576,20,0,0,3,6,5,118627,12/16/2020,4,4,In-Person Meeting,Weekends,English
79511,64,0,3,1,8,2,88726,2/23/2021,0,4,Phone,Morning,German
59584,23,1,0,2,8,6,66297,5/28/2023,0,2,Text,Weekends,German
34861,36,1,1,3,19,4,118070,08-11-2020,3,0,Phone,Weekends,German
70463,25,0,4,3,15,3,37647,03-12-2022,1,0,In-Person Meeting,Anytime,German
80563,47,1,1,1,34,7,71557,08-05-2022,0,2,Email,Anytime,German
11388,49,1,2,1,26,0,52610,11-01-2020,3,4,Email,Morning,Mandarin
24662,45,1,0,4,21,3,88672,07-01-2023,0,2,In-Person Meeting,Morning,Spanish
5296,19,0,2,4,12,1,38661,3/21/2021,0,0,Mail,Anytime,German
6543,65,0,2,4,7,2,135528,04-11-2019,1,3,Phone,Morning,French
36456,42,0,3,1,6,7,92123,07-08-2021,1,1,Phone,Morning,German
93687,25,0,3,0,14,4,33634,6/15/2018,4,2,Phone,Morning,Mandarin
10440,34,0,0,2,23,4,142791,04-12-2023,3,2,Phone,Morning,German
34878,56,1,1,0,0,3,32167,03-08-2023,3,4,Text,Evening,Mandarin
24995,22,1,0,2,11,3,34620,2/16/2018,4,4,In-Person Meeting,Weekends,French
64396,43,1,0,3,11,7,130554,10-09-2020,2,0,Mail,Morning,Mandarin
93034,39,0,1,4,23,4,78823,10/16/2018,3,3,In-Person Meeting,Weekends,German
26729,45,1,4,4,5,7,125138,09-05-2018,2,0,Mail,Afternoon,French
22229,28,0,0,3,6,3,100499,10/17/2018,1,0,Phone,Afternoon,English
1815,41,1,1,0,11,6,20912,08-12-2018,1,2,Text,Morning,Spanish
69269,29,1,4,3,24,1,76895,09-03-2022,4,4,In-Person Meeting,Evening,Mandarin
3589,63,1,3,3,13,4,122952,06-01-2022,4,1,In-Person Meeting,Afternoon,German
68449,54,0,4,2,18,8,69931,1/18/2020,4,1,Mail,Morning,German
79355,24,0,3,4,15,2,96639,10-09-2022,4,0,Mail,Evening,English
65533,57,1,1,1,9,1,48224,12/15/2019,4,3,Phone,Morning,English
63071,37,0,0,0,20,2,53126,09-11-2022,2,1,Mail,Morning,German
33332,46,0,2,0,9,0,70314,03-11-2018,4,4,In-Person Meeting,Afternoon,French
70855,48,1,3,4,27,7,33578,5/27/2022,1,3,In-Person Meeting,Weekends,French
96441,64,0,1,0,20,0,28753,10-02-2021,4,1,Email,Weekends,French
61751,38,1,0,1,32,1,99136,11/20/2022,3,2,Mail,Weekends,French
44443,60,0,4,2,3,5,89222,9/17/2020,3,2,Phone,Evening,French
74936,26,1,2,2,30,7,70280,03-05-2020,3,2,Text,Anytime,Mandarin
51310,67,0,0,1,18,6,135887,11-10-2019,0,1,Phone,Weekends,Spanish
17137,30,1,1,4,3,2,39720,05-11-2021,1,1,In-Person Meeting,Morning,Mandarin
94422,42,1,3,3,25,8,115575,12/13/2019,1,2,Text,Weekends,Spanish
41720,59,1,0,2,16,4,57650,11-07-2022,3,1,Phone,Anytime,German
82442,64,1,1,3,3,5,93497,10/28/2019,3,0,Mail,Weekends,French
34401,23,0,1,1,33,8,39033,10/25/2020,2,2,In-Person Meeting,Evening,Mandarin
83008,53,1,1,4,5,7,137008,4/25/2020,1,0,Email,Weekends,Mandarin
70127,32,0,1,4,23,1,35257,7/18/2023,1,3,Text,Evening,Spanish
63069,24,1,1,0,8,1,64743,07-07-2022,3,0,In-Person Meeting,Morning,German
37978,45,1,4,3,16,6,37448,6/21/2023,2,2,Mail,Weekends,French
63278,50,1,3,2,16,1,107935,11-04-2018,2,4,Text,Afternoon,English
361,57,1,2,2,18,3,40112,04-02-2019,4,2,Email,Weekends,Mandarin
88902,31,1,4,0,7,6,113605,12-11-2019,4,2,Mail,Weekends,English
70436,64,1,1,1,4,2,146071,03-04-2021,3,3,Mail,Anytime,Mandarin
12666,54,0,2,4,14,8,50746,05-08-2023,3,0,Phone,Weekends,French
67617,63,1,3,4,3,4,51096,07-06-2021,1,0,Mail,Weekends,Spanish
68232,69,0,2,0,15,3,94162,05-03-2018,1,4,Phone,Morning,Spanish
69507,70,0,4,1,16,8,127115,1/13/2022,1,0,Text,Weekends,German
1517,48,0,1,4,20,5,85507,7/17/2023,4,0,Phone,Weekends,German
88439,60,1,1,0,23,4,26406,6/23/2021,4,4,Phone,Weekends,Mandarin
53269,63,1,0,3,9,5,119825,05-11-2018,2,0,Email,Anytime,Mandarin
54900,56,1,4,3,22,5,42273,4/21/2019,2,0,Email,Evening,German
76618,70,1,3,1,27,6,99488,11-01-2020,0,3,Email,Afternoon,English
89714,34,1,1,0,29,0,26869,7/24/2023,4,1,Phone,Weekends,German
1,19,0,2,4,27,4,106557,10/24/2020,0,2,Email,Afternoon,French
76410,46,0,3,4,25,1,37433,4/26/2020,2,1,Email,Evening,German
76580,19,0,0,3,22,0,66575,01-09-2022,1,1,In-Person Meeting,Evening,English
96513,63,0,3,4,16,2,57401,07-01-2018,0,2,Phone,Afternoon,German
88393,64,0,3,0,6,0,145953,12-10-2020,3,0,Phone,Evening,French
72744,42,1,0,2,7,4,37782,03-11-2018,3,1,In-Person Meeting,Morning,French
89406,49,0,0,1,16,4,91200,2/18/2018,3,2,Mail,Morning,German
28206,62,1,1,2,27,0,72139,9/21/2018,1,3,In-Person Meeting,Evening,Mandarin
97196,57,0,3,1,8,6,54239,6/27/2019,2,3,In-Person Meeting,Evening,French
39467,46,1,0,3,6,4,101418,2/22/2023,4,1,In-Person Meeting,Weekends,German
6353,43,1,0,1,9,2,80176,12/24/2023,1,1,Phone,Morning,English
75628,24,0,0,4,20,2,148131,7/22/2020,0,4,Mail,Afternoon,German
3553,40,1,0,0,9,5,31438,3/20/2023,3,2,In-Person Meeting,Morning,English
81473,37,1,0,1,9,7,100478,8/23/2019,3,4,Email,Anytime,Mandarin
73662,63,0,3,0,22,8,36520,5/20/2020,1,1,In-Person Meeting,Morning,German
5708,43,0,3,0,10,4,136209,12-07-2020,0,3,Phone,Weekends,Spanish
67858,47,1,3,4,33,7,72894,02-11-2023,3,3,Mail,Evening,Spanish
13820,54,0,3,2,3,0,23688,09-04-2022,3,4,In-Person Meeting,Morning,German
82344,26,0,2,4,14,7,124896,04-04-2019,1,0,In-Person Meeting,Morning,English
65035,20,1,4,1,7,5,107706,06-10-2019,0,1,Mail,Evening,French
91345,35,1,4,3,0,0,82774,10-04-2019,4,3,Phone,Morning,French
16023,70,0,4,0,15,4,22101,2/24/2023,0,2,In-Person Meeting,Morning,German
91989,66,1,0,1,34,4,40562,11/19/2020,1,4,Text,Anytime,English
86456,35,0,2,1,12,1,133367,5/23/2020,4,1,Phone,Evening,German
88411,51,0,1,0,8,0,134300,01-05-2023,4,1,Phone,Weekends,French
811,41,1,0,0,20,0,36553,12/25/2018,3,4,Phone,Morning,English
87437,29,0,3,0,26,1,132984,02-10-2021,0,3,Mail,Evening,Spanish
40714,43,1,0,1,14,5,38019,2/25/2022,2,2,Phone,Weekends,Mandarin
8158,68,1,3,1,16,3,70107,10-08-2022,1,0,Phone,Morning,Spanish
70472,41,0,1,4,32,0,77145,10/28/2021,3,3,Mail,Afternoon,Spanish
57734,26,0,3,4,11,7,106586,01-10-2020,2,3,Email,Morning,Mandarin
81909,64,1,0,1,32,4,132654,05-05-2020,0,1,Text,Weekends,German
54423,18,0,0,1,30,5,116995,12-07-2021,3,3,Phone,Anytime,German
36095,37,1,3,0,15,8,108143,4/18/2021,4,2,In-Person Meeting,Afternoon,French
87952,64,0,0,4,29,4,36276,6/17/2023,3,0,Email,Morning,English
62942,23,1,3,0,21,1,71025,07-01-2023,2,0,In-Person Meeting,Anytime,German
12724,39,1,0,2,21,1,26608,3/21/2021,0,3,Phone,Afternoon,English
56665,57,1,3,2,27,4,30666,1/19/2021,2,0,Text,Evening,English
